"id","isbn13","title","authors","published_date","page_count","category","language","avg_rating","rating_count","img_url","preview_url","description"
"20","9780307590619","Decision Points","George Walker Bush","2010","554","Biography and Autobiography","en","1.4","99","https://images.isbndb.com/covers/06/19/9780307590619.jpg","http://books.google.com.vn/books?id=po0nAQAAMAAJ&dq=isbn:9780307590619&hl=&cd=1&source=gbs_api","President George W. Bush describes the critical decisions of his presidency and personal life..."
"21","9780307265630","The Hidden Reality","Brian Greene","2011","386","Cosmology","en","1.1","498","https://images.isbndb.com/covers/56/30/9780307265630.jpg","http://books.google.com.vn/books?id=rc6ODQAAQBAJ&dq=isbn:9780307265630&hl=&cd=1&source=gbs_api","Discusses recent discoveries in physics and cosmology to explore a range of multiverse proposals, and examines how the knowledge that some aspects of reality may lie beyond human comprehension might affect scientific progress."
"22","9781400052172","The Immortal Life of Henrietta Lacks","Rebecca Skloot","2010-02-02","386","Science","en","2.8","297","https://images.isbndb.com/covers/21/72/9781400052172.jpg","http://books.google.com.vn/books?id=PJOLDQAAQBAJ&dq=isbn:9781400052172&hl=&cd=1&source=gbs_api","#1 NEW YORK TIMES BESTSELLER • “The story of modern medicine and bioethics—and, indeed, race relations—is refracted beautifully, and movingly.”—Entertainment Weekly NOW A MAJOR MOTION PICTURE FROM HBO® STARRING OPRAH WINFREY AND ROSE BYRNE • ONE OF THE “MOST INFLUENTIAL” (CNN), “DEFINING” (LITHUB), AND “BEST” (THE PHILADELPHIA INQUIRER) BOOKS OF THE DECADE • ONE OF ESSENCE’S 50 MOST IMPACTFUL BLACK BOOKS OF THE PAST 50 YEARS • WINNER OF THE CHICAGO TRIBUNE HEARTLAND PRIZE FOR NONFICTION NAMED ONE OF THE BEST BOOKS OF THE YEAR BY The New York Times Book Review • Entertainment Weekly • O: The Oprah Magazine • NPR • Financial Times • New York • Independent (U.K.) • Times (U.K.) • Publishers Weekly • Library Journal • Kirkus Reviews • Booklist • Globe and Mail Her name was Henrietta Lacks, but scientists know her as HeLa. She was a poor Southern tobacco farmer who worked the same land as her slave ancestors, yet her cells—taken without her knowledge—became one of the most important tools in medicine: The first “immortal” human cells grown in culture, which are still alive today, though she has been dead for more than sixty years. HeLa cells were vital for developing the polio vaccine; uncovered secrets of cancer, viruses, and the atom bomb’s effects; helped lead to important advances like in vitro fertilization, cloning, and gene mapping; and have been bought and sold by the billions. Yet Henrietta Lacks remains virtually unknown, buried in an unmarked grave. Henrietta’s family did not learn of her “immortality” until more than twenty years after her death, when scientists investigating HeLa began using her husband and children in research without informed consent. And though the cells had launched a multimillion-dollar industry that sells human biological materials, her family never saw any of the profits. As Rebecca Skloot so brilliantly shows, the story of the Lacks family—past and present—is inextricably connected to the dark history of experimentation on African Americans, the birth of bioethics, and the legal battles over whether we control the stuff we are made of. Over the decade it took to uncover this story, Rebecca became enmeshed in the lives of the Lacks family—especially Henrietta’s daughter Deborah. Deborah was consumed with questions: Had scientists cloned her mother? Had they killed her to harvest her cells? And if her mother was so important to medicine, why couldn’t her children afford health insurance? Intimate in feeling, astonishing in scope, and impossible to put down, The Immortal Life of Henrietta Lacks captures the beauty and drama of scientific discovery, as well as its human consequences."
"23","9781416583431","Inside of a Dog","Alexandra Horowitz","2010-09-28","384","Pets","en","4.2","169","https://images.isbndb.com/covers/34/31/9781416583431.jpg","http://books.google.com.vn/books?id=RNYqgWjCTq4C&printsec=frontcover&dq=isbn:9781416583431&hl=&cd=1&source=gbs_api","Containing up-to-the minute research and providing many moments of dog-behavior recognition, this lively and absorbing book helps dog owners to see their best friend's behavior in a different, and revealing, light."
"24","9780062002945","Sh*t My Dad Says","Justin Halpern","2010-05-04","180","Humor","en","3.1","506","https://images.isbndb.com/covers/29/45/9780062002945.jpg","http://books.google.com.vn/books?id=mU5d_xwMD2cC&printsec=frontcover&dq=isbn:9780062002945&hl=&cd=1&source=gbs_api","“This book is ridiculously hilarious, and makes my father look like a normal member of society.” —Chelsea Handler “Read this unless you’re allergic to laughing.” —Kristen Bell “If you’re wondering if there is a real man behind the quotes on Twitter, the answer is a definite and laugh-out-loud yes.” —Christian Lander, New York Times bestselling author of Stuff White People Like Tuesdays with Morrie meets F My Life in this hilarious book about a son’s relationship with his foul-mouthed father by the 29-year-old comedy writer who created the massively popular Twitter feed of the same name."
"25","9780316034388","Life","Keith Richards","2010-10-26","564","Biography and Autobiography","en","3.4","920","https://images.isbndb.com/covers/43/88/9780316034388.jpg","http://books.google.com.vn/books?id=If8qngEACAAJ&dq=isbn:9780316034388&hl=&cd=1&source=gbs_api","The lead guitarist for The Rolling Stones offers a no-holds-barred account of his life, from a youth obsessed with Chuck Berry to his formation of the Stones and their subsequent stardom, in a book where the author frankly discusses his problems with drugs, his relationships, his estrangement from Mick Jagger, bandmate Brian Jones' death and more. 1.5 million first printing. $500,000 ad/promo."
"26","9780743247542","The Glass Castle","Jeannette Walls","2006-01-17","304","Biography and Autobiography","en","3.3","10","https://images.isbndb.com/covers/75/42/9780743247542.jpg","http://books.google.com.vn/books?id=B1JNwAEACAAJ&dq=isbn:9780743247542&hl=&cd=1&source=gbs_api","Now a major motion picture from Lionsgate starring Brie Larson, Woody Harrelson, and Naomi Watts. MORE THAN SEVEN YEARS ON THE NEW YORK TIMES BESTSELLER LIST The perennially bestselling, extraordinary, one-of-a-kind, “nothing short of spectacular” (Entertainment Weekly) memoir from one of the world’s most gifted storytellers. The Glass Castle is a remarkable memoir of resilience and redemption, and a revelatory look into a family at once deeply dysfunctional and uniquely vibrant. When sober, Jeannette’s brilliant and charismatic father captured his children’s imagination, teaching them physics, geology, and how to embrace life fearlessly. But when he drank, he was dishonest and destructive. Her mother was a free spirit who abhorred the idea of domesticity and didn’t want the responsibility of raising a family. The Walls children learned to take care of themselves. They fed, clothed, and protected one another, and eventually found their way to New York. Their parents followed them, choosing to be homeless even as their children prospered. The Glass Castle is truly astonishing—a memoir permeated by the intense love of a peculiar but loyal family."
"27","9780060936228","Just Kids","Patti Smith","2010-11-02","320","Biography and Autobiography","en","1.4","489","https://images.isbndb.com/covers/62/28/9780060936228.jpg","http://books.google.com.vn/books?id=Mv66mAEACAAJ&dq=isbn:9780060936228&hl=&cd=1&source=gbs_api","It was the summer Coltrane died, the summer of love and riots, and the summer when a chance encounter in Brooklyn led two young people on a path of art, devotion, and initiation. Patti Smith would evolve as a poet and performer, and Robert Mapplethorpe would direct his highly provocative style toward photography. Bound in innocence and enthusiasm, they traversed the city from Coney Island to Forty-second Street, and eventually to the celebrated round table of Max's Kansas City, where the Andy Warhol contingent held court. In 1969, the pair set up camp at the Hotel Chelsea and soon entered a community of the famous and infamous—the influential artists of the day and the colorful fringe. It was a time of heightened awareness, when the worlds of poetry, rock and roll, art, and sexual politics were colliding and exploding. In this milieu, two kids made a pact to take care of each other. Scrappy, romantic, committed to create, and fueled by their mutual dreams and drives, they would prod and provide for one another during the hungry years. Just Kids begins as a love story and ends as an elegy. It serves as a salute to New York City during the late sixties and seventies and to its rich and poor, its hustlers and hellions. A true fable, it is a portrait of two young artists' ascent, a prelude to fame."
"28","9780553806700","Neptune's Inferno","James D. Hornfischer","2011","577","Biography and Autobiography","en","0","456","https://images.isbndb.com/covers/67/00/9780553806700.jpg","http://books.google.com.vn/books?id=i_tvDwAAQBAJ&dq=isbn:9780553806700&hl=&cd=1&source=gbs_api","The acclaimed, bestselling author of ""The Last Stand of the Tin Can Sailors"" now delivers a riveting, character-focused narrative of the United States Navy's bloodiest, most pivotal campaign of World War II."
"29","9781400068920","Decoded","Jay-Z","2010-11-16","337","Biography and Autobiography","en","1.4","365","https://images.isbndb.com/covers/89/20/9781400068920.jpg","http://books.google.com.vn/books?id=x26MDQAAQBAJ&dq=isbn:9781400068920&hl=&cd=1&source=gbs_api","Decoded is a book like no other: a collection of lyrics and their meanings that together tell the story of a culture, an art form, a moment in history, and one of the most provocative and successful artists of our time. Praise for Decoded “Compelling . . . provocative, evocative . . . Part autobiography, part lavishly illustrated commentary on the author’s own work, Decoded gives the reader a harrowing portrait of the rough worlds Jay-Z navigated in his youth, while at the same time deconstructing his lyrics.”—Michiko Kakutani, The New York Times “One of a handful of books that just about any hip hop fan should own.”—The New Yorker “Elegantly designed, incisively written . . . an impressive leap by a man who has never been known for small steps.”—Los Angeles Times “A riveting exploration of Jay-Z’s journey . . . So thoroughly engrossing, it reads like a good piece of cultural journalism.”—The Boston Globe “Shawn Carter’s most honest airing of the experiences he drew on to create the mythic figure of Jay-Z . . . The scenes he recounts along the way are fascinating.”—Entertainment Weekly “Hip-hop’s renaissance man drops a classic. . . . Heartfelt, passionate and slick.”—Kirkus Reviews (starred review)"
